Municípios,Código,Gentílico,População 2010,Área da unidade territorial (km²),Densidade demográfica (hab/km²),PIB a preços correntes
Ibirá,3519402,ibiraense,10.896,"271,91","40,1",146.138
Ibirarema,3519501,ibiraremense,6.725,"228,32","29,5",152.955
Ibitinga,3519600,ibitinguense,53.158,"689,25","77,1",913.025
Ibiúna,3519709,ibiunense,71.217,"1.058,08","67,3",866.269
Icém,3519808,icense,7.462,"362,59","20,6",124.902
Iepê,3519907,iepense,7.628,"595,49","12,8",192.543
Igaraçu do Tietê,3520004,igaraçuense,23.362,"97,72","239,1",214.067
Igarapava,3520103,igarapavense,27.952,"468,25","59,7",697.348
Igaratá,3520202,igaratense,8.831,"292,95","30,1",127.424
Iguape,3520301,iguapense,28.841,"1.977,95","14,6",319.298
Ilha Comprida,3520426,ilha compridense,9.025,"191,97","47,0",154.095
Ilha Solteira,3520442,ilhense,25.064,"652,45","38,4",1.315.162
Ilhabela,3520400,ilhabelense,28.196,"347,54","81,1",355.692
Indaiatuba,3520509,indaiatubano,201.619,"312,05","646,1",5.982.815
Indiana,3520608,indianense,4.825,"126,62","38,1",48.014
Indiaporã,3520707,indiaporãense,3.903,"279,60","14,0",61.649
Inúbia Paulista,3520806,inubense,3.63,"87,41","41,5",65.7
Ipaussu,3520905,ipauçuense,13.663,"209,66","65,2",182.838
Iperó,3521002,iperoense,28.3,"170,28","166,2",482.487
Ipeúna,3521101,ipeunense,6.016,"190,01","31,7",138.697
Ipiguá,3521150,ipiguarense,4.463,"135,69","32,9",54.711
Iporanga,3521200,iporanguense,4.299,"1.152,05","3,7",33.05
Ipuã,3521309,ipuãnense,14.148,"465,88","30,4",253.225
Iracemápolis,3521408,iracemapolense,20.029,"115,12","174,0",523.607
Irapuã,3521507,irapuense,7.275,"257,91","28,2",120.505
Irapuru,3521606,irapuruense,7.789,"214,90","36,2",85.698
Itaberá,3521705,itaberense,17.858,"1.110,50","16,1",310.137
Itaí,3521804,itaiense,24.008,"1.082,78","22,2",484.703
Itajobi,3521903,itajobiense,14.556,"502,07","29,0",271.463
Itaju,3522000,itajuense,3.246,"229,82","14,1",82.929
Itanhaém,3522109,itanhaense,87.057,"601,67","144,7",1.185.586
Itaóca,3522158,itaoquense,3.228,"183,02","17,6",28.981
Itapecerica da Serra,3522208,itapecericano,152.614,"150,87","1.011,6",3.694.712
Itapetininga,3522307,itapetingano,144.377,"1.790,21","80,7",2.947.272
Itapeva,3522406,itapevense,87.753,"1.826,26","48,1",1.329.881
Itapevi,3522505,itapeviense,200.769,"82,66","2.428,9",6.410.254
Itapira,3522604,itapirense,68.537,"518,39","132,2",1.900.416
Itapirapuã Paulista,3522653,itapirapuã paulistense,3.88,"406,48","9,6",35.152
Itápolis,3522703,itapolitano,40.051,"996,85","40,2",811.19
Itaporanga,3522802,itaporanguense,14.549,"507,71","28,7",165.858
Itapuí,3522901,itapuiense,12.173,"140,80","86,5",387.508
Itapura,3523008,itapurense,4.357,"301,37","14,5",124.138
Itaquaquecetuba,3523107,itaquaquecetubano,321.77,"82,61","3.895,2",3.717.298
Itararé,3523206,itarareense,47.934,"1.003,58","47,8",664.574
